Wavelength (nm),Intensity
200.0,0.0
200.1,0.0
200.2,0.0
200.29999999999998,0.0
200.39999999999998,0.0
200.49999999999997,0.0
200.59999999999997,0.0
200.69999999999996,0.0
200.79999999999995,0.0
200.89999999999995,0.0
200.99999999999994,0.0
201.09999999999994,0.0
201.19999999999993,0.0
201.29999999999993,0.0
201.39999999999992,0.0
201.49999999999991,0.0
201.5999999999999,0.0
201.6999999999999,295637.64932839
201.7999999999999,30618635.655814998
201.8999999999999,815893792.6500628
201.9999999999999,5610395511.186188
202.09999999999988,10508517481.34745
202.19999999999987,10005831461.52214
202.29999999999987,12637506941.499619
202.39999999999986,6856574568.684424
202.49999999999986,996693798.2633754
202.59999999999985,49026688.38720509
202.69999999999985,374270555.89963365
202.79999999999984,3983779421.644445
202.89999999999984,16965763748.652397
202.99999999999983,27764771759.84256
203.09999999999982,14386092033.990566
203.19999999999982,2178510599.238834
203.2999999999998,2629395052.7527695
203.3999999999998,25402112633.57167
203.4999999999998,69999286539.86415
203.5999999999998,59117512838.78159
203.6999999999998,25896903972.29522
203.79999999999978,8547062392.938882
203.89999999999978,1084644585.1792474
203.99999999999977,38151202.45944298
204.09999999999977,734741.0498987923
204.19999999999976,57509140.07836998
204.29999999999976,2316159573.7475915
204.39999999999975,24780339550.80383
204.49999999999974,70429272301.6808
204.59999999999974,53174855902.060165
204.69999999999973,10665141322.35848
204.79999999999973,568242980.8829281
204.89999999999972,10030223.485055707
204.99999999999972,115915719.14673406
205.0999999999997,1812990852.500689
205.1999999999997,7604040007.514274
205.2999999999997,8555145215.561267
205.3999999999997,2707750389.7202263
205.4999999999997,1897482307.1973038
205.59999999999968,7334941250.361313
205.69999999999968,16179108402.818441
205.79999999999967,22421387817.112957
205.89999999999966,14616915140.560009
205.99999999999966,3536279824.161047
206.09999999999965,269995971.28384876
206.19999999999965,5919137.068597309
206.29999999999964,0.0
206.39999999999964,0.0
206.49999999999963,0.0
206.59999999999962,0.0
206.69999999999962,0.0
206.7999999999996,0.0
206.8999999999996,0.0
206.9999999999996,0.0
207.0999999999996,0.0
207.1999999999996,0.0
207.29999999999959,10270320.380097227
207.39999999999958,534930619.669525
207.49999999999957,8377633762.085396
207.59999999999957,41181476210.168144
207.69999999999956,74278777602.45303
207.79999999999956,86279571560.05472
207.89999999999955,76113131825.8162
207.99999999999955,29682324654.40407
208.09999999999954,38838544664.453255
208.19999999999953,95456295622.61002
208.29999999999953,79206429560.72755
208.39999999999952,32857310998.754005
208.49999999999952,17012887919.51598
208.5999999999995,6412051201.63842
208.6999999999995,5467660742.439994
208.7999999999995,23025556951.431427
208.8999999999995,40047012248.55469
208.9999999999995,32311610115.097168
209.09999999999948,14037666842.441994
209.19999999999948,6686310853.080553
209.29999999999947,2800342546.6878986
209.39999999999947,397428431.7639627
209.49999999999946,16110174.317140473
209.59999999999945,184136.99607250333
209.69999999999945,0.0
209.79999999999944,6685533.901069189
209.89999999999944,340371275.0165434
209.99999999999943,4937765978.298494
210.09999999999943,20411217001.350327
210.19999999999942,24041861569.95871
210.29999999999941,8069155408.589873
210.3999999999994,771700644.4507195
210.4999999999994,21029572.362185128
210.5999999999994,323857.9222794882
210.6999999999994,18293202.565028094
210.7999999999994,600022201.8551388
